CLASS,CAP-SHAPE,CAP-SURFACE,CAP-COLOR,BRUISES,ODOR,GILL-SPACING,GILL-SIZE,GILL-COLOR,STALK-SHAPE,STALK-ROOT,STALK-SURFACE,STALK-COLOR,RING-TYPE,SPORE-PRINT-COLOR,POPULATION,HABITAT
poisonous,convex,smooth,brown,bruises,bad smell,close,narrow,black,enlarging,equal,smooth,white,pendant,black,scattered,urban
edible,convex,smooth,yellow,bruises,almond,close,broad,black,enlarging,club,smooth,white,pendant,brown,abundant,woods
edible,bell,smooth,white,bruises,anise,close,broad,brown,enlarging,club,smooth,white,pendant,brown,abundant,meadows
poisonous,convex,scaly,white,bruises,bad smell,close,narrow,brown,enlarging,equal,smooth,white,pendant,black,scattered,urban
edible,convex,smooth,gray,no,none,crowed,broad,black,tapering,equal,smooth,white,evanescent,brown,abundant,woods
edible,convex,scaly,yellow,bruises,almond,close,broad,brown,enlarging,club,smooth,white,pendant,black,abundant,woods
edible,bell,smooth,white,bruises,almond,close,broad,gray,enlarging,club,smooth,white,pendant,black,abundant,meadows
edible,bell,scaly,white,bruises,anise,close,broad,brown,enlarging,club,smooth,white,pendant,brown,scattered,meadows
poisonous,convex,scaly,white,bruises,bad smell,close,narrow,pink,enlarging,equal,smooth,white,pendant,black,several,woods
edible,bell,smooth,yellow,bruises,almond,close,broad,gray,enlarging,club,smooth,white,pendant,black,scattered,meadows
edible,convex,scaly,yellow,bruises,anise,close,broad,gray,enlarging,club,smooth,white,pendant,brown,abundant,woods
edible,convex,scaly,yellow,bruises,almond,close,broad,brown,enlarging,club,smooth,white,pendant,black,scattered,meadows
edible,bell,smooth,yellow,bruises,almond,close,broad,white,enlarging,club,smooth,white,pendant,brown,scattered,woods
poisonous,convex,scaly,white,bruises,bad smell,close,narrow,black,enlarging,equal,smooth,white,pendant,brown,several,urban
edible,convex,fibrous,brown,no,none,crowed,broad,brown,tapering,equal,smooth,white,evanescent,black,abundant,woods
edible,flat,fibrous,white,no,none,crowed,broad,black,tapering,equal,smooth,white,evanescent,brown,abundant,woods
poisonous,convex,smooth,brown,bruises,bad smell,close,narrow,brown,enlarging,equal,smooth,white,pendant,black,scattered,woods
poisonous,convex,scaly,white,bruises,bad smell,close,narrow,brown,enlarging,equal,smooth,white,pendant,brown,scattered,urban
poisonous,convex,smooth,brown,bruises,bad smell,close,narrow,black,enlarging,equal,smooth,white,pendant,brown,scattered,urban
edible,bell,smooth,yellow,bruises,almond,close,broad,black,enlarging,club,smooth,white,pendant,brown,scattered,meadows
poisonous,convex,scaly,brown,bruises,bad smell,close,narrow,brown,enlarging,equal,smooth,white,pendant,brown,several,woods
edible,bell,scaly,yellow,bruises,anise,close,broad,black,enlarging,club,smooth,white,pendant,brown,scattered,meadows
edible,bell,scaly,white,bruises,almond,close,broad,white,enlarging,club,smooth,white,pendant,brown,abundant,meadows
edible,bell,smooth,white,bruises,anise,close,broad,gray,enlarging,club,smooth,white,pendant,black,scattered,meadows
poisonous,flat,smooth,white,bruises,bad smell,close,narrow,brown,enlarging,equal,smooth,white,pendant,brown,several,woods
edible,convex,scaly,yellow,bruises,almond,close,broad,brown,enlarging,club,smooth,white,pendant,brown,abundant,meadows
edible,convex,scaly,white,bruises,anise,close,broad,white,enlarging,club,smooth,white,pendant,brown,abundant,meadows
edible,flat,fibrous,brown,no,none,close,narrow,black,enlarging,equal,smooth,white,pendant,black,solitary,urban
edible,convex,smooth,yellow,bruises,almond,crowed,narrow,brown,tapering,bulbous,smooth,white,pendant,brown,several,woods
edible,bell,smooth,yellow,bruises,anise,close,broad,gray,enlarging,club,smooth,white,pendant,brown,abundant,meadows
poisonous,convex,scaly,white,bruises,bad smell,close,narrow,black,enlarging,equal,smooth,white,pendant,brown,scattered,urban
edible,convex,scaly,yellow,bruises,anise,close,broad,brown,enlarging,club,smooth,white,pendant,brown,abundant,meadows
edible,convex,scaly,brown,bruises,anise,close,broad,pink,enlarging,rooted,smooth,white,pendant,brown,solitary,paths
edible,bell,scaly,yellow,bruises,anise,close,broad,brown,enlarging,club,smooth,white,pendant,brown,scattered,meadows
edible,convex,fibrous,yellow,bruises,anise,crowed,narrow,white,tapering,bulbous,smooth,white,pendant,brown,several,woods
poisonous,convex,scaly,brown,bruises,bad smell,close,narrow,white,enlarging,equal,smooth,white,pendant,brown,scattered,urban
edible,convex,fibrous,yellow,bruises,almond,crowed,narrow,pink,tapering,bulbous,smooth,white,pendant,brown,several,woods
edible,bell,smooth,yellow,bruises,anise,close,broad,black,enlarging,club,smooth,white,pendant,black,scattered,meadows
edible,bell,scaly,yellow,bruises,almond,close,broad,brown,enlarging,club,smooth,white,pendant,brown,scattered,woods
edible,convex,scaly,yellow,bruises,anise,close,broad,brown,enlarging,rooted,smooth,white,pendant,black,solitary,paths
edible,convex,fibrous,brown,no,none,close,narrow,gray,enlarging,equal,smooth,white,pendant,black,solitary,urban
poisonous,convex,scaly,white,bruises,bad smell,close,narrow,pink,enlarging,equal,smooth,white,pendant,brown,several,woods
edible,convex,smooth,yellow,bruises,almond,close,broad,white,enlarging,club,smooth,white,pendant,black,abundant,meadows
edible,convex,scaly,white,bruises,almond,close,broad,brown,enlarging,club,smooth,white,pendant,brown,abundant,woods
edible,convex,scaly,yellow,bruises,anise,close,broad,black,enlarging,club,smooth,white,pendant,black,scattered,meadows
edible,convex,smooth,white,bruises,anise,close,broad,white,enlarging,club,smooth,white,pendant,brown,abundant,meadows
edible,convex,scaly,yellow,bruises,anise,close,broad,brown,enlarging,rooted,smooth,white,pendant,brown,scattered,paths
edible,flat,scaly,yellow,bruises,anise,close,broad,white,enlarging,rooted,smooth,white,pendant,black,scattered,paths
